Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-02-06,11:32:50,03-14212-88239,Pokemon TCG - Ascended Heroes - (ASC EN) - Team Rocket's Petrel - 207/217,1,1.99
2026-02-06,12:27:47,13-14199-16355,2025 Panini Instant Matthew Stafford NFL MVP Rams QB #9 PRESALE,1,7.29
2026-02-07,6:22:08,25-14184-44684,Pikachu 051/162 Pokemon Day 2026 - Anniversary Stamped + Promo Coin,1,8.54
2026-02-07,7:51:30,20-14191-81801,2025 Panini Instant Matthew Stafford NFL MVP Rams QB #9 PRESALE,1,6.99
2026-02-07,9:49:44,06-14212-40714,2025 Panini Instant Matthew Stafford NFL MVP Rams QB #9 PRESALE,1,13.28
2026-02-07,12:38:16,10-14207-08012,2025 Panini Instant Matthew Stafford NFL MVP Rams QB #9 PRESALE,1,7.24
2026-02-07,15:41:58,07-14212-23737,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,7.24
2026-02-07,17:32:59,08-14210-77968,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,7.24
2026-02-07,20:06:18,26-14185-75154,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,7.24
2026-02-07,22:34:58,15-14201-65177,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,13.76
2026-02-08,12:14:25,19-14198-64014,Team Rocket's Moltres ex Ultra Rare SV10: Destined Rivals 208/182 NM - Pokemon,1,7
2026-02-08,15:26:28,21-14196-20895,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,7.24
2026-02-08,21:30:03,24-14208-06140,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,14.04
2026-02-08,21:56:45,10-14213-13160,Charmander Fire Energy Reverse Holo 020/217 Ascended Heroes ASC EN MINT,1,2.99
2026-02-09,17:15:02,07-14221-76373,Drake Maye - 2025 Panini Instant NFL #431 AFC Championship Game PRESALE Patriots,1,6.99
2026-02-10,5:49:26,27-14195-12488,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,7.24
2026-02-10,9:04:41,25-14198-60781,Piplup 098/094 Phantasmal Flames Illustration Rare Full Art - Pokémon ME02 PFL,1,14.99
2026-02-10,20:27:50,10-14222-19138,[Stamped] Zekrom 66/182 Paradox Rift Stamped Cosmo Foil Rare Promo - Pokémon TCG,1,2.99
2026-02-11,8:27:50,06-14230-10567,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,18.87
2026-02-11,14:51:05,19-14213-09780,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,6.99
2026-02-11,15:02:30,03-14235-81152,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,6.99
2026-02-12,5:10:15,14-14222-22330,Drake Maye - 2025 Panini Instant NFL #431 AFC Championship Game PRESALE Patriots,1,6.99
2026-02-12,13:27:06,22-14212-75329,Adam Vinatieri 2025 Panini Instant #440 Patriots Legend HOF Inductee PRESALE,1,6.74
2026-02-12,21:19:08,23-14212-72964,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,6.99
2026-02-13,2:38:27,27-14207-68570,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,17.98
2026-02-13,12:42:03,26-14211-03068,2025 Bowman Draft #BDC-66 Mason Morris Chrome Mojo Refractor Cincinnati Reds 📈,1,1.99
2026-02-13,14:32:53,05-14241-89391,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-02-14,4:44:07,22-14218-91251,Adam Vinatieri 2025 Panini Instant #440 Patriots Legend HOF Inductee PRESALE,1,6
2026-02-14,14:46:53,16-14229-61327,2025-26 Topps Chrome VJ Edgecombe Voices Refractor Insert RC Rookie 76ers VS-8🔥,1,13.99
2026-02-14,21:28:27,10-14238-93275,2025 Panini Instant Matthew Stafford MVP AP 2025 Rams QB #9 PRESALE,1,28.47
2026-02-15,7:07:05,15-14233-08318,Drake Maye - 2025 Panini Instant NFL #431 AFC Championship Game PRESALE Patriots,1,6.45
2026-02-15,8:41:06,17-14230-54579,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-02-15,15:54:21,23-14223-99481,Brett Favre #107 Lava Color Match Refractor /630 2024 Panini Score Numbered NM,1,2.99
2026-02-15,20:16:34,12-14240-59348,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7
2026-02-16,16:48:51,10-14247-20426,Drake Maye - 2025 Panini Instant NFL #431 AFC Championship Game PRESALE Patriots,1,6.79
2026-02-16,22:08:20,02-14259-95031,Chaos Dragon Levianeer STARLIGHT RARE 1st Edition MP25-EN035 Yugioh!,1,1.79
2026-02-19,9:28:55,14-14253-37569,2024 Topps Chrome Update Bryce Harper All-Star Green /99 #ASGC-11 CGC Certified,1,16.99
2026-02-19,14:03:00,20-14245-92126,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-02-19,23:51:56,11-14260-33024,Adam Vinatieri 2025 Panini Instant #440 Patriots Legend HOF Inductee PRESALE,1,6.99
2026-02-20,7:42:52,06-14268-93183,2025 Panini Mosaic - Drake Maye Purple Reactive #28 New England Patriots,1,8.99
2026-02-20,16:28:34,10-14264-89351,Pokemon Lot 100 OFFICIAL ENGLISH TCG Cards Ultra Rare | IR EX VMAX GX VSTAR OR V,1,14.99
2026-02-21,11:48:32,24-14262-87846,2020 PANINI SCORE JOE BURROW ROOKIE #438 PSA 10 GEM MINT OHIO STATE BUCKEYES,1,60
2026-02-21,16:43:02,02-14280-81294,NFL 25 Card Lot | Guaranteed Auto Patch Numbered #'d | Optic Prizm Mosaic Rated,1,13
2026-02-22,5:46:26,14-14265-10519,NFL 25-Card Football Lot | Guaranteed Auto Patch or #'d | Optic Prizm! See Desc,1,13.5
2026-02-22,8:22:59,16-14262-79608,2025 Panini Mosaic - Stained Glass Oversized Quinshon Judkins #6 RC Browns,1,7.5
2026-02-22,12:00:40,11-14270-93054,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,7.29
2026-02-22,12:48:39,14-14266-94508,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-02-22,15:15:14,10-14273-05683,NFL 25-Card Football Lot | Guaranteed Auto Patch or #'d | Optic Prizm! See Desc,1,17.99
2026-02-22,17:01:48,10-14273-43869,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,7.29
2026-02-22,19:22:42,27-14250-03541,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,6.74
2026-02-23,4:05:14,10-14275-15531,Pokemon Lot 100 OFFICIAL ENGLISH TCG Cards Ultra Rare | IR EX VMAX GX VSTAR OR V,1,14.99
